estado,nombre,numero,presidente,direccion
Nayarit,Lic. Gilberto Miramontes Correa ,2,True,"Durango Sur, número 37 Colonia Zona Centro Tepic Nayarit 63000 "
Nayarit,Lic. Manuel Altamirano Quintero ,1,False,Libramiento Tepic – Mazatlan número 195 – 4 (entre Avenida las Brisas y Avenida Insurgentes) Colonia Fraccionamiento Las Brisas Tepic Nayarit 63117 
Nayarit,Mtro. Enrique Cárdenas García ,3,False,"Av. Palmas #3, Interior A2 Plaza 3.14 Nuevo Vallarta Bahía de Banderas Nayarit 63732 "
Nayarit,Lic. Otoniel Pérez Orta ,4,False,Calle Mariano Abasolo número 72 Poniente Colonia Centro Tepic Nayarit 63000 
Nayarit,Lic. Eduardo Franco Quiroz ,5,False,"Paseo de los Cocoteros número 55, interior 2217 Del Centro Empresarial Colonia Nuevo Vallarta Bahía de Banderas Nayarit 63735 work"
Nayarit,Lic. Melina Edith Miramontes Barajas ,6,False,Calle Durango número 37 Sur Colonia Centro Tepic Nayarit 63000 work
Nayarit,Mtro. José Antonio Ibarra Rodríguez ,7,False,"Paseo de los Cocoteros número 55 interior 2217, del Centro Empresarial Colonia Nuevo Vallarta Bahía de Banderas Nayarit 63735 work"
Nayarit,Lic. José Martón Mayorga Martónez ,8,False,"Calle Zacatecas número 173 Sur, piso 2, Despacho 4 Colonia Centro Tepic Nayarit 63000 "
Nayarit,Mtro. Manuel Salinas Solís ,9,False,Calle Vicente Guerrero número 33 Oriente Colonia Centro Tepic Nayarit 63000 
Nayarit,Lic. María de la Luz Barajas Aguiar ,10,False,Calle José María Morelos y Pavón número 334 Poniente Zona Centro Tepic Nayarit 63000 
Nayarit,Lic. José Luis Béjar Rivera ,11,False,Avenida México Sur número 137 Colonia Centro Tepic Nayarit 63000 
Nayarit,Lic. Claudia Noemí Medina Satarain ,12,False,"Avenida Juan Escutia número 45, esquina con Calle Morelos Colonia Heriberto Casas Tepic Nayarit 63080 "
Nayarit,Lic. Carlos Manuel Altamirano Rojas ,13,False,"Calle Mar Mediterráneo número 119, planta baja (Carretera La Cruz de Huanacaxtle – Punta de Mita Km. 1) Colonia Magisterial II sección Banderas Nayarit 63734 "
Nayarit,Lic. Ruth Yenire Salinas Granda ,14,False,Calle Vicente Guerrero número 33 Colonia Centro Tepic Nayarit 63000 work
Morelos,Lic. Norma Elvia Martel Mota ,6,True,"Róo Amacuzac número 7, primer piso Colonia Vista Hermosa Cuernavaca Morelos 62290 "
Morelos,Lic. Bernardita Concepción Alegría García ,2,False,"Avenida San Diego número 100 , casa 2 (oficial 1701 casa 2) esquina Bugambilia Colonia Fraccionamiento Jardines Las Delicias Cuernavaca Morelos 62330 "
Morelos,Lic. Noemí López Luna ,3,False,Cuernavaca Morelos 
Morelos,Lic. Ricardo Sánchez Armas García ,4,False,"Calle Hidalgo número 14, despacho 205 Colonia Centro Cuernavaca Morelos 62000 "
Michoacán,Lic. Armando Gilberto Manzano Alba ,1,False,Con licencia de separación
Michoacán,Lic. José Luis Marín Soto ,2,False,Con licencia de separación
